Gene name,Gene description
Nek9,NIMA-related kinase 9
Cd151,CD151 molecule (Raph blood group)
Pfn2,profilin 2
Selplg,selectin P ligand
Psmd2,"proteasome 26S subunit ubiquitin receptor, non-ATPase 2"
Ifnar1,interferon alpha and beta receptor subunit 1
Fhod3,formin homology 2 domain containing 3
Nfatc1,nuclear factor of activated T-cells 1
Cggbp1,CGG triplet repeat binding protein 1
Sgpl1,sphingosine-1-phosphate lyase 1
Runx3,RUNX family transcription factor 3
Vps26c,VPS26 endosomal protein sorting factor C
Itpripl1,ITPRIP like 1
Fbxo11,F-box protein 11
Msi1,musashi RNA-binding protein 1
Slco3a1,"solute carrier organic anion transporter family, member 3a1"
Zfp518a,zinc finger protein 518A
Hs6st1,heparan sulfate 6-O-sulfotransferase 1
Agpat5,1-acylglycerol-3-phosphate O-acyltransferase 5
Pam,peptidylglycine alpha-amidating monooxygenase
Phldb2,"pleckstrin homology-like domain, family B, member 2"
Pnpt1,polyribonucleotide nucleotidyltransferase 1
Poglut1,protein O-glucosyltransferase 1
Acap2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
Gja1,"gap junction protein, alpha 1"
Tspan5,tetraspanin 5
Tpcn1,two pore segment channel 1
Nes,nestin
Sema3g,semaphorin 3G
Met,"MET proto-oncogene, receptor tyrosine kinase"
Nampt,nicotinamide phosphoribosyltransferase
Pmp22,peripheral myelin protein 22
Aff3,ALF transcription elongation factor 3
Ccn4,cellular communication network factor 4
Taf9b,TATA-box binding protein associated factor 9b
Magea4,MAGE family member A4
Dpysl3,dihydropyrimidinase-like 3
Rhoj,ras homolog family member J
Asap1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
Itga8,integrin subunit alpha 8
Mef2c,myocyte enhancer factor 2C
Cldnd1,claudin domain containing 1
Olfm2,olfactomedin 2
Magea9,MAGE family member A9
Msh2,mutS homolog 2
Cers6,ceramide synthase 6
Hadhb,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta
Atf5,activating transcription factor 5
Vash1,vasohibin 1
Smc6,structural maintenance of chromosomes 6
ENSRNOG00000062503,Description not found
Ppm1f,"protein phosphatase, Mg2+/Mn2+ dependent, 1F"
Klf9,KLF transcription factor 9
Psap,prosaposin
Fth1,ferritin heavy chain 1
Numb,"NUMB, endocytic adaptor protein"
Klhl29,kelch-like family member 29
Itga7,integrin subunit alpha 7
Mal,"mal, T-cell differentiation protein"
C1qtnf1,C1q and TNF related 1
Arsg,arylsulfatase G
Timp1,TIMP metallopeptidase inhibitor 1
Rcn3,reticulocalbin 3
Ppfia4,PTPRF interacting protein alpha 4
Cxcl12,C-X-C motif chemokine ligand 12
Nlrp1a,"NLR family, pyrin domain containing 1A"
Vrk1,VRK serine/threonine kinase 1
Fam20c,"FAM20C, golgi associated secretory pathway kinase"
Wnt5a,Wnt family member 5A
Plxnb1,plexin B1
Arsb,arylsulfatase B
Ano5,anoctamin 5
Cenpo,centromere protein O
ENSRNOG00000063649,Description not found
Ppard,peroxisome proliferator-activated receptor delta
Has2,hyaluronan synthase 2
Fut10,fucosyltransferase 10
Slitrk6,"SLIT and NTRK-like family, member 6"
Lef1,lymphoid enhancer binding factor 1
Inpp5a,inositol polyphosphate-5-phosphatase A
Tnfrsf1a,TNF receptor superfamily member 1A
Parp14,"poly (ADP-ribose) polymerase family, member 14"
Ghr,growth hormone receptor
Zfyve28,zinc finger FYVE-type containing 28
Pgm1,phosphoglucomutase 1
Chmp2b,charged multivesicular body protein 2B
Olfml1,olfactomedin-like 1
Bace2,beta-secretase 2
Gpnmb,glycoprotein nmb
Mybl1,MYB proto-oncogene like 1
Col11a1,collagen type XI alpha 1 chain
Efna5,ephrin A5
Papola,poly (A) polymerase alpha
Pals1,"protein associated with LIN7 1, MAGUK p55 family member"
Col8a2,collagen type VIII alpha 2 chain
Hspa12a,heat shock protein family A (Hsp70) member 12A
Hmx3,H6 family homeobox 3
Vps8,VPS8 subunit of CORVET complex
Dhrs1,dehydrogenase/reductase 1
Hsp90aa1,heat shock protein 90 alpha family class A member 1
Bgn,biglycan
Snx4,sorting nexin 4
Ptrh1,peptidyl-tRNA hydrolase 1 homolog
Ckap4,cytoskeleton-associated protein 4
Slc35a2,solute carrier family 35 member A2
Gcnt1,glucosaminyl (N-acetyl) transferase 1
Klhdc2,kelch domain containing 2
Slc39a13,solute carrier family 39 member 13
Rab10,"RAB10, member RAS oncogene family"
Septin5,septin 5
Stard13,StAR-related lipid transfer domain containing 13
Cpsf2,cleavage and polyadenylation specific factor 2
Tbccd1,TBCC domain containing 1
Map1lc3a,microtubule-associated protein 1 light chain 3 alpha
Stk39,serine threonine kinase 39
Igf2bp2,insulin-like growth factor 2 mRNA binding protein 2
Steap1,STEAP family member 1
Gtf2e1,general transcription factor IIE subunit 1
Cpm,carboxypeptidase M
